id,nazwisko,pensja,stanowisko
3,Zieliński,7000,HR Specialist
4,Kaczmarek,10308,Project Manager
5,Lorenc,19234,DevOps Engineer
6,Frankowski,13952,Project Manager
7,Maćkowiak,11611,Software Engineer
8,Tokarz,8895,Junior Data Engineer
9,Pałka,8991,Data Analyst
10,Stasiak,7121,HR Specialist
11,Kosowski,15941,Software Engineer
12,Kępa,10310,Data Engineer
13,Kogut,12830,DevOps Engineer
14,Kaczor,7294,Junior Data Engineer
15,Kubat,14732,Software Engineer
16,Lipka,6319,HR Specialist
17,Wróblewski,24021,Senior Data Engineer
18,Kałuża,7971,HR Specialist
19,Kępa,11639,Software Engineer
20,Furman,15730,Data Engineer
21,Czajka,9929,Software Engineer
22,Frankowski,10200,Software Engineer
23,Kupiec,18323,DevOps Engineer
24,Żuk,5529,HR Specialist
25,Filipek,9411,Data Analyst
26,Klimek,12511,Data Engineer
27,Kot,16051,Software Engineer
28,Kobus,11563,Data Analyst
29,Karaś,12381,Project Manager
30,Kmiecik,5499,HR Specialist
31,Karaś,8256,Junior Data Engineer
32,Łukasik,11850,Data Engineer
33,Maciejewski,14529,Software Engineer
34,Olszewski,12849,Data Analyst
35,Konieczny,7936,HR Specialist
36,Klimas,12338,Data Analyst
37,Godlewski,23427,Senior Data Engineer
38,Pawlak,12723,Data Analyst
39,Sobolewski,17406,Senior Data Engineer
40,Zając,13892,DevOps Engineer
41,Dziedzic,16898,Project Manager
42,Kłos,13069,Project Manager
43,Morawski,16539,DevOps Engineer
44,Sobczak,12833,Data Analyst
45,Filipek,5228,HR Specialist
46,Kędzierski,13164,Data Analyst
47,Grabowski,16548,Software Engineer
48,Szewczyk,12442,Project Manager
49,Kulig,6936,Junior Data Engineer
50,Bąk,6819,Junior Data Engineer
51,Makowski,12214,Data Analyst
52,Walczak,11974,DevOps Engineer
53,Kapusta,10845,Data Engineer
54,Jezierski,13823,Data Analyst
55,Kamiński,12877,Project Manager
56,Lorenc,19042,DevOps Engineer
57,Filipek,17128,DevOps Engineer
58,Woźniak,14505,Software Engineer
59,Wójcik,12428,Data Engineer
60,Kaczmarczyk,10718,Data Analyst
61,Gąsior,14908,Data Engineer
62,Nowak,12906,Data Engineer
63,Kuczyński,20481,Senior Data Engineer
64,Tomaszewski,6653,Junior Data Engineer
65,Kasprzak,9732,Data Analyst
66,Jankowski,15973,Data Engineer
67,Baranowski,16652,Software Engineer
68,Karpiński,6872,HR Specialist
69,Kulig,15743,DevOps Engineer
70,Furman,14660,Software Engineer
71,Kucharz,11415,Data Engineer
72,Jabłoński,14315,Data Engineer
73,Kosiński,10518,Project Manager
74,Jezierski,13100,Data Analyst
75,Zalewski,19182,Senior Data Engineer
76,Kmiecik,16296,Software Engineer
77,Kołek,15105,Software Engineer
78,Komorowski,10462,Project Manager
79,Adamski,5440,HR Specialist
80,Kubica,6239,HR Specialist
81,Zieliński,8658,Data Analyst
82,Sroka,11136,Data Analyst
83,Wrona,12368,Data Analyst
84,Olszewski,5583,HR Specialist
85,Kurek,11967,Data Analyst
86,Kmiecik,22146,Senior Data Engineer
87,Kubat,6087,HR Specialist
88,Szewczyk,7698,Junior Data Engineer
89,Kuc,17440,DevOps Engineer
